Loading weights:   0%|          | 0/750 [00:00<?, ?it/s]Loading weights:   0%|          | 2/750 [00:00<00:38, 19.36it/s]Loading weights:   5%|▍         | 34/750 [00:00<00:03, 187.09it/s]Loading weights:   9%|▊         | 65/750 [00:00<00:02, 239.62it/s]Loading weights:  12%|█▏        | 93/750 [00:00<00:02, 254.59it/s]Loading weights:  17%|█▋        | 125/750 [00:00<00:02, 273.88it/s]Loading weights:  20%|██        | 153/750 [00:00<00:02, 271.96it/s]Loading weights:  24%|██▍       | 182/750 [00:00<00:02, 276.81it/s]Loading weights:  29%|██▊       | 215/750 [00:00<00:01, 284.60it/s]Loading weights:  33%|███▎      | 248/750 [00:00<00:01, 291.58it/s]Loading weights:  37%|███▋      | 280/750 [00:01<00:01, 298.26it/s]Loading weights:  41%|████▏     | 310/750 [00:01<00:01, 292.73it/s]Loading weights:  46%|████▌     | 345/750 [00:01<00:01, 301.62it/s]Loading weights:  50%|█████     | 376/750 [00:01<00:01, 301.80it/s]Loading weights:  62%|██████▏   | 463/750 [00:01<00:00, 465.17it/s]Loading weights:  86%|████████▋ | 647/750 [00:01<00:00, 867.78it/s]Loading weights: 100%|██████████| 750/750 [00:01<00:00, 452.99it/s]
loaded Qwen/Qwen3-VL-8B-Instruct on cuda:0
frame plan: 1076 distinct frames across 17 segments (vs decoding every frame of each segment, which held 8.2 GB)
  dv_contactlens [personal_care] spans  13- 13 ->  1 captions  (input_tokens=2300, output_tokens=64, n_images=4)
  dv_contactlens [personal_care] spans  14- 14 ->  1 captions  (input_tokens=2309, output_tokens=66, n_images=4)
  dv_contactlens [personal_care] spans  15- 15 ->  1 captions  (input_tokens=2302, output_tokens=66, n_images=4)
  dv_contactlens [personal_care] spans  16- 16 ->  1 captions  (input_tokens=2305, output_tokens=66, n_images=4)
  dv_contactlens [personal_care] spans  17- 17 ->  1 captions  (input_tokens=2310, output_tokens=63, n_images=4)
  dv_contactlens [personal_care] spans  18- 18 ->  1 captions  (input_tokens=2310, output_tokens=60, n_images=4)
  dv_contactlens [personal_care] spans  19- 19 ->  1 captions  (input_tokens=2304, output_tokens=63, n_images=4)
  dv_contactlens [personal_care] spans  20- 20 ->  1 captions  (input_tokens=2301, output_tokens=66, n_images=4)
  dv_contactlens [personal_care] spans  21- 21 ->  1 captions  (input_tokens=2301, output_tokens=63, n_images=4)
  dv_fryingpan   [kitchen] spans   0-  0 ->  1 captions  (input_tokens=2139, output_tokens=66, n_images=4)
  dv_fryingpan   [kitchen] spans   1-  1 ->  1 captions  (input_tokens=2218, output_tokens=66, n_images=4)
  dv_fryingpan   [kitchen] spans   2-  2 ->  1 captions  (input_tokens=2236, output_tokens=66, n_images=4)
  dv_fryingpan   [kitchen] spans   3-  3 ->  1 captions  (input_tokens=2285, output_tokens=65, n_images=4)
  dv_fryingpan   [kitchen] spans   4-  4 ->  1 captions  (input_tokens=2309, output_tokens=65, n_images=4)
  dv_fryingpan   [kitchen] spans   5-  5 ->  1 captions  (input_tokens=2308, output_tokens=65, n_images=4)
  dv_fryingpan   [kitchen] spans   6-  6 ->  1 captions  (input_tokens=2307, output_tokens=66, n_images=4)
  dv_fryingpan   [kitchen] spans   7-  7 ->  1 captions  (input_tokens=2307, output_tokens=66, n_images=4)
  dv_fryingpan   [kitchen] spans   8-  8 ->  1 captions  (input_tokens=2315, output_tokens=64, n_images=4)
  dv_fryingpan   [kitchen] spans   9-  9 ->  1 captions  (input_tokens=2307, output_tokens=64, n_images=4)
  dv_fryingpan   [kitchen] spans  10- 10 ->  1 captions  (input_tokens=2306, output_tokens=63, n_images=4)
  dv_fryingpan   [kitchen] spans  11- 11 ->  1 captions  (input_tokens=2309, output_tokens=63, n_images=4)
  dv_fryingpan   [kitchen] spans  12- 12 ->  1 captions  (input_tokens=2300, output_tokens=61, n_images=4)
  dv_fryingpan   [kitchen] spans  13- 13 ->  1 captions  (input_tokens=2297, output_tokens=64, n_images=4)
  dv_fryingpan   [kitchen] spans  14- 14 ->  1 captions  (input_tokens=2295, output_tokens=62, n_images=4)
  dv_fryingpan   [kitchen] spans  15- 15 ->  1 captions  (input_tokens=2306, output_tokens=65, n_images=4)
  dv_fryingpan   [kitchen] spans  16- 16 ->  1 captions  (input_tokens=2298, output_tokens=65, n_images=4)
  dv_fryingpan   [kitchen] spans  17- 17 ->  1 captions  (input_tokens=2302, output_tokens=61, n_images=4)
  dv_fryingpan   [kitchen] spans  18- 18 ->  1 captions  (input_tokens=2307, output_tokens=61, n_images=4)
  dv_fryingpan   [kitchen] spans  19- 19 ->  1 captions  (input_tokens=2306, output_tokens=63, n_images=4)
  dv_fryingpan   [kitchen] spans  20- 20 ->  1 captions  (input_tokens=2296, output_tokens=61, n_images=4)
  dv_fryingpan   [kitchen] spans  21- 21 ->  1 captions  (input_tokens=2302, output_tokens=62, n_images=4)
  dv_fryingpan   [kitchen] spans  22- 22 ->  1 captions  (input_tokens=2292, output_tokens=62, n_images=4)
  dv_fryingpan   [kitchen] spans  23- 23 ->  1 captions  (input_tokens=2302, output_tokens=64, n_images=4)
  dv_fryingpan   [kitchen] spans  24- 24 ->  1 captions  (input_tokens=2293, output_tokens=65, n_images=4)
  dv_fryingpan   [kitchen] spans  25- 25 ->  1 captions  (input_tokens=2297, output_tokens=65, n_images=4)
  dv_fryingpan   [kitchen] spans  26- 26 ->  1 captions  (input_tokens=2302, output_tokens=65, n_images=4)
  dv_fryingpan   [kitchen] spans  27- 27 ->  1 captions  (input_tokens=2303, output_tokens=64, n_images=4)
  dv_fryingpan   [kitchen] spans  28- 28 ->  1 captions  (input_tokens=2305, output_tokens=65, n_images=4)
  dv_fryingpan   [kitchen] spans  29- 29 ->  1 captions  (input_tokens=2305, output_tokens=61, n_images=4)
  pp_shampoo     [retail_shelf] spans   0-  0 ->  1 captions  (input_tokens=2151, output_tokens=61, n_images=4)
  pp_shampoo     [retail_shelf] spans   1-  1 ->  1 captions  (input_tokens=2208, output_tokens=62, n_images=4)
  pp_shampoo     [retail_shelf] spans   2-  2 ->  1 captions  (input_tokens=2231, output_tokens=61, n_images=4)
  pp_shampoo     [retail_shelf] spans   3-  3 ->  1 captions  (input_tokens=2263, output_tokens=62, n_images=4)
  pp_shampoo     [retail_shelf] spans   4-  4 ->  1 captions  (input_tokens=2312, output_tokens=61, n_images=4)
  pp_shampoo     [retail_shelf] spans   5-  5 ->  1 captions  (input_tokens=2307, output_tokens=65, n_images=4)
  pp_shampoo     [retail_shelf] spans   6-  6 ->  1 captions  (input_tokens=2299, output_tokens=64, n_images=4)
  pp_shampoo     [retail_shelf] spans   7-  7 ->  1 captions  (input_tokens=2313, output_tokens=61, n_images=4)
  pp_shampoo     [retail_shelf] spans   8-  8 ->  1 captions  (input_tokens=2301, output_tokens=65, n_images=4)
  pp_shampoo     [retail_shelf] spans   9-  9 ->  1 captions  (input_tokens=2315, output_tokens=64, n_images=4)
  pp_shampoo     [retail_shelf] spans  10- 10 ->  1 captions  (input_tokens=2304, output_tokens=64, n_images=4)
  pp_shampoo     [retail_shelf] spans  11- 11 ->  1 captions  (input_tokens=2314, output_tokens=64, n_images=4)
  pp_shampoo     [retail_shelf] spans  12- 12 ->  1 captions  (input_tokens=2317, output_tokens=64, n_images=4)
  pp_shampoo     [retail_shelf] spans  13- 13 ->  1 captions  (input_tokens=2304, output_tokens=64, n_images=4)
  pp_shampoo     [retail_shelf] spans  14- 14 ->  1 captions  (input_tokens=2304, output_tokens=64, n_images=4)
  pp_shampoo     [retail_shelf] spans  15- 15 ->  1 captions  (input_tokens=2316, output_tokens=64, n_images=4)
  pp_shampoo     [retail_shelf] spans  16- 16 ->  1 captions  (input_tokens=2313, output_tokens=65, n_images=4)
  pp_shampoo     [retail_shelf] spans  17- 17 ->  1 captions  (input_tokens=2314, output_tokens=63, n_images=4)
  pp_shampoo     [retail_shelf] spans  18- 18 ->  1 captions  (input_tokens=2316, output_tokens=61, n_images=4)
  pp_shampoo     [retail_shelf] spans  19- 19 ->  1 captions  (input_tokens=2310, output_tokens=65, n_images=4)
  pp_shampoo     [retail_shelf] spans  20- 20 ->  1 captions  (input_tokens=2314, output_tokens=61, n_images=4)
  pp_noodles     [retail_shelf] spans   0-  0 ->  1 captions  (input_tokens=2144, output_tokens=67, n_images=4)
  pp_noodles     [retail_shelf] spans   1-  1 ->  1 captions  (input_tokens=2209, output_tokens=64, n_images=4)
  pp_noodles     [retail_shelf] spans   2-  2 ->  1 captions  (input_tokens=2243, output_tokens=67, n_images=4)
  pp_noodles     [retail_shelf] spans   3-  3 ->  1 captions  (input_tokens=2281, output_tokens=67, n_images=4)
  pp_noodles     [retail_shelf] spans   4-  4 ->  1 captions  (input_tokens=2318, output_tokens=64, n_images=4)
  pp_noodles     [retail_shelf] spans   5-  5 ->  1 captions  (input_tokens=2324, output_tokens=64, n_images=4)
  pp_noodles     [retail_shelf] spans   6-  6 ->  1 captions  (input_tokens=2315, output_tokens=67, n_images=4)
  pp_noodles     [retail_shelf] spans   7-  7 ->  1 captions  (input_tokens=2316, output_tokens=64, n_images=4)
  pp_noodles     [retail_shelf] spans   8-  8 ->  1 captions  (input_tokens=2310, output_tokens=63, n_images=4)
  pp_noodles     [retail_shelf] spans   9-  9 ->  1 captions  (input_tokens=2311, output_tokens=66, n_images=4)
  pp_noodles     [retail_shelf] spans  10- 10 ->  1 captions  (input_tokens=2323, output_tokens=63, n_images=4)
  pp_noodles     [retail_shelf] spans  11- 11 ->  1 captions  (input_tokens=2309, output_tokens=66, n_images=4)
  pp_noodles     [retail_shelf] spans  12- 12 ->  1 captions  (input_tokens=2312, output_tokens=65, n_images=4)
  pp_noodles     [retail_shelf] spans  13- 13 ->  1 captions  (input_tokens=2314, output_tokens=66, n_images=4)
  pp_noodles     [retail_shelf] spans  14- 14 ->  1 captions  (input_tokens=2314, output_tokens=66, n_images=4)
  pp_noodles     [retail_shelf] spans  15- 15 ->  1 captions  (input_tokens=2316, output_tokens=66, n_images=4)
  pp_noodles     [retail_shelf] spans  16- 16 ->  1 captions  (input_tokens=2316, output_tokens=64, n_images=4)
  pp_noodles     [retail_shelf] spans  17- 17 ->  1 captions  (input_tokens=2315, output_tokens=65, n_images=4)
  pp_noodles     [retail_shelf] spans  18- 18 ->  1 captions  (input_tokens=2325, output_tokens=67, n_images=4)
  pp_noodles     [retail_shelf] spans  19- 19 ->  1 captions  (input_tokens=2316, output_tokens=67, n_images=4)
  pp_noodles     [retail_shelf] spans  20- 20 ->  1 captions  (input_tokens=2317, output_tokens=67, n_images=4)
  pp_noodles     [retail_shelf] spans  21- 21 ->  1 captions  (input_tokens=2321, output_tokens=66, n_images=4)
  pp_noodles     [retail_shelf] spans  22- 22 ->  1 captions  (input_tokens=2321, output_tokens=66, n_images=4)
  pp_noodles     [retail_shelf] spans  23- 23 ->  1 captions  (input_tokens=2321, output_tokens=67, n_images=4)
  pp_noodles     [retail_shelf] spans  24- 24 ->  1 captions  (input_tokens=2319, output_tokens=66, n_images=4)
  pp_noodles     [retail_shelf] spans  25- 25 ->  1 captions  (input_tokens=2323, output_tokens=66, n_images=4)
  pp_noodles     [retail_shelf] spans  26- 26 ->  1 captions  (input_tokens=2316, output_tokens=65, n_images=4)
  pp_noodles     [retail_shelf] spans  27- 27 ->  1 captions  (input_tokens=2317, output_tokens=66, n_images=4)
  pp_noodles     [retail_shelf] spans  28- 28 ->  1 captions  (input_tokens=2318, output_tokens=65, n_images=4)
  pp_plate       [retail_shelf] spans   0-  0 ->  1 captions  (input_tokens=2136, output_tokens=59, n_images=4)
  pp_plate       [retail_shelf] spans   1-  1 ->  1 captions  (input_tokens=2194, output_tokens=59, n_images=4)
  pp_plate       [retail_shelf] spans   2-  2 ->  1 captions  (input_tokens=2223, output_tokens=60, n_images=4)
  pp_plate       [retail_shelf] spans   3-  3 ->  1 captions  (input_tokens=2264, output_tokens=59, n_images=4)
  pp_plate       [retail_shelf] spans   4-  4 ->  1 captions  (input_tokens=2288, output_tokens=59, n_images=4)
  pp_plate       [retail_shelf] spans   5-  5 ->  1 captions  (input_tokens=2288, output_tokens=59, n_images=4)
  pp_plate       [retail_shelf] spans   6-  6 ->  1 captions  (input_tokens=2295, output_tokens=59, n_images=4)
  pp_plate       [retail_shelf] spans   7-  7 ->  1 captions  (input_tokens=2285, output_tokens=62, n_images=4)
  pp_plate       [retail_shelf] spans   8-  8 ->  1 captions  (input_tokens=2290, output_tokens=59, n_images=4)
  pp_plate       [retail_shelf] spans   9-  9 ->  1 captions  (input_tokens=2290, output_tokens=62, n_images=4)
  pp_plate       [retail_shelf] spans  10- 10 ->  1 captions  (input_tokens=2293, output_tokens=59, n_images=4)
  pp_plate       [retail_shelf] spans  11- 11 ->  1 captions  (input_tokens=2293, output_tokens=59, n_images=4)
  pp_plate       [retail_shelf] spans  12- 12 ->  1 captions  (input_tokens=2290, output_tokens=61, n_images=4)
  pp_plate       [retail_shelf] spans  13- 13 ->  1 captions  (input_tokens=2292, output_tokens=61, n_images=4)
  pp_plate       [retail_shelf] spans  14- 14 ->  1 captions  (input_tokens=2298, output_tokens=61, n_images=4)
  pp_plate       [retail_shelf] spans  15- 15 ->  1 captions  (input_tokens=2293, output_tokens=61, n_images=4)
  pp_plate       [retail_shelf] spans  16- 16 ->  1 captions  (input_tokens=2295, output_tokens=61, n_images=4)
  pp_plate       [retail_shelf] spans  17- 17 ->  1 captions  (input_tokens=2295, output_tokens=59, n_images=4)
  pp_plate       [retail_shelf] spans  18- 18 ->  1 captions  (input_tokens=2297, output_tokens=62, n_images=4)
  pp_plate       [retail_shelf] spans  19- 19 ->  1 captions  (input_tokens=2293, output_tokens=60, n_images=4)
  pp_plate       [retail_shelf] spans  20- 20 ->  1 captions  (input_tokens=2291, output_tokens=60, n_images=4)
  pp_plate       [retail_shelf] spans  21- 21 ->  1 captions  (input_tokens=2302, output_tokens=60, n_images=4)
  pp_belts       [retail_shelf] spans   0-  0 ->  1 captions  (input_tokens=2160, output_tokens=61, n_images=4)
  pp_belts       [retail_shelf] spans   1-  1 ->  1 captions  (input_tokens=2209, output_tokens=58, n_images=4)
  pp_belts       [retail_shelf] spans   2-  2 ->  1 captions  (input_tokens=2240, output_tokens=61, n_images=4)
  pp_belts       [retail_shelf] spans   3-  3 ->  1 captions  (input_tokens=2262, output_tokens=61, n_images=4)
  pp_belts       [retail_shelf] spans   4-  4 ->  1 captions  (input_tokens=2302, output_tokens=58, n_images=4)
  pp_belts       [retail_shelf] spans   5-  5 ->  1 captions  (input_tokens=2301, output_tokens=61, n_images=4)
  pp_belts       [retail_shelf] spans   6-  6 ->  1 captions  (input_tokens=2294, output_tokens=60, n_images=4)
  pp_belts       [retail_shelf] spans   7-  7 ->  1 captions  (input_tokens=2303, output_tokens=60, n_images=4)
  np_storagebox  [retail_shelf] spans   0-  0 ->  1 captions  (input_tokens=2137, output_tokens=57, n_images=4)
  np_storagebox  [retail_shelf] spans   1-  1 ->  1 captions  (input_tokens=2205, output_tokens=64, n_images=4)
  np_storagebox  [retail_shelf] spans   2-  2 ->  1 captions  (input_tokens=2226, output_tokens=64, n_images=4)
  np_storagebox  [retail_shelf] spans   3-  3 ->  1 captions  (input_tokens=2271, output_tokens=62, n_images=4)
  np_storagebox  [retail_shelf] spans   4-  4 ->  1 captions  (input_tokens=2294, output_tokens=62, n_images=4)
  np_storagebox  [retail_shelf] spans   5-  5 ->  1 captions  (input_tokens=2303, output_tokens=64, n_images=4)
  np_storagebox  [retail_shelf] spans   6-  6 ->  1 captions  (input_tokens=2313, output_tokens=64, n_images=4)
  np_storagebox  [retail_shelf] spans   7-  7 ->  1 captions  (input_tokens=2309, output_tokens=64, n_images=4)
  np_storagebox  [retail_shelf] spans   8-  8 ->  1 captions  (input_tokens=2309, output_tokens=60, n_images=4)
  np_storagebox  [retail_shelf] spans   9-  9 ->  1 captions  (input_tokens=2306, output_tokens=60, n_images=4)
  np_storagebox  [retail_shelf] spans  10- 10 ->  1 captions  (input_tokens=2302, output_tokens=64, n_images=4)
  np_storagebox  [retail_shelf] spans  11- 11 ->  1 captions  (input_tokens=2293, output_tokens=62, n_images=4)
  np_storagebox  [retail_shelf] spans  12- 12 ->  1 captions  (input_tokens=2291, output_tokens=60, n_images=4)
  np_storagebox  [retail_shelf] spans  13- 13 ->  1 captions  (input_tokens=2303, output_tokens=60, n_images=4)
  np_storagebox  [retail_shelf] spans  14- 14 ->  1 captions  (input_tokens=2293, output_tokens=60, n_images=4)
  np_storagebox  [retail_shelf] spans  15- 15 ->  1 captions  (input_tokens=2296, output_tokens=63, n_images=4)
  np_storagebox  [retail_shelf] spans  16- 16 ->  1 captions  (input_tokens=2290, output_tokens=63, n_images=4)
  np_storagebox  [retail_shelf] spans  17- 17 ->  1 captions  (input_tokens=2309, output_tokens=63, n_images=4)
  np_storagebox  [retail_shelf] spans  18- 18 ->  1 captions  (input_tokens=2294, output_tokens=60, n_images=4)
  np_storagebox  [retail_shelf] spans  19- 19 ->  1 captions  (input_tokens=2306, output_tokens=60, n_images=4)
  np_storagebox  [retail_shelf] spans  20- 20 ->  1 captions  (input_tokens=2293, output_tokens=60, n_images=4)
  np_storagebox  [retail_shelf] spans  21- 21 ->  1 captions  (input_tokens=2297, output_tokens=60, n_images=4)
  np_storagebox  [retail_shelf] spans  22- 22 ->  1 captions  (input_tokens=2294, output_tokens=63, n_images=4)
  np_storagebox  [retail_shelf] spans  23- 23 ->  1 captions  (input_tokens=2290, output_tokens=57, n_images=4)
  np_storagebox  [retail_shelf] spans  24- 24 ->  1 captions  (input_tokens=2295, output_tokens=60, n_images=4)
  np_storagebox  [retail_shelf] spans  25- 25 ->  1 captions  (input_tokens=2287, output_tokens=60, n_images=4)
  np_storagebox  [retail_shelf] spans  26- 26 ->  1 captions  (input_tokens=2297, output_tokens=59, n_images=4)
  np_storagebox  [retail_shelf] spans  27- 27 ->  1 captions  (input_tokens=2283, output_tokens=59, n_images=4)
  np_storagebox  [retail_shelf] spans  28- 28 ->  1 captions  (input_tokens=2283, output_tokens=60, n_images=4)
  np_storagebox  [retail_shelf] spans  29- 29 ->  1 captions  (input_tokens=2285, output_tokens=60, n_images=4)
  np_cabinet_b   [retail_shelf] spans   0-  0 ->  1 captions  (input_tokens=2139, output_tokens=58, n_images=4)
  np_cabinet_b   [retail_shelf] spans   1-  1 ->  1 captions  (input_tokens=2190, output_tokens=59, n_images=4)
  np_cabinet_b   [retail_shelf] spans   2-  2 ->  1 captions  (input_tokens=2221, output_tokens=61, n_images=4)
  np_cabinet_b   [retail_shelf] spans   3-  3 ->  1 captions  (input_tokens=2252, output_tokens=58, n_images=4)
  np_cabinet_b   [retail_shelf] spans   4-  4 ->  1 captions  (input_tokens=2278, output_tokens=59, n_images=4)
  np_cabinet_b   [retail_shelf] spans   5-  5 ->  1 captions  (input_tokens=2281, output_tokens=61, n_images=4)
  np_cabinet_b   [retail_shelf] spans   6-  6 ->  1 captions  (input_tokens=2283, output_tokens=60, n_images=4)
  np_cabinet_b   [retail_shelf] spans   7-  7 ->  1 captions  (input_tokens=2289, output_tokens=58, n_images=4)
  np_cabinet_b   [retail_shelf] spans   8-  8 ->  1 captions  (input_tokens=2282, output_tokens=58, n_images=4)
  np_cabinet_b   [retail_shelf] spans   9-  9 ->  1 captions  (input_tokens=2288, output_tokens=64, n_images=4)
  np_cabinet_b   [retail_shelf] spans  10- 10 ->  1 captions  (input_tokens=2285, output_tokens=64, n_images=4)
  np_cabinet_b   [retail_shelf] spans  11- 11 ->  1 captions  (input_tokens=2288, output_tokens=61, n_images=4)
  np_cabinet_b   [retail_shelf] spans  12- 12 ->  1 captions  (input_tokens=2291, output_tokens=61, n_images=4)
  np_cabinet_b   [retail_shelf] spans  13- 13 ->  1 captions  (input_tokens=2294, output_tokens=64, n_images=4)
  np_cabinet_b   [retail_shelf] spans  14- 14 ->  1 captions  (input_tokens=2294, output_tokens=64, n_images=4)
  np_cabinet_b   [retail_shelf] spans  15- 15 ->  1 captions  (input_tokens=2294, output_tokens=64, n_images=4)
  np_tissue      [retail_shelf] spans   0-  0 ->  1 captions  (input_tokens=2137, output_tokens=62, n_images=4)
  np_tissue      [retail_shelf] spans   1-  1 ->  1 captions  (input_tokens=2196, output_tokens=63, n_images=4)
  np_tissue      [retail_shelf] spans   2-  2 ->  1 captions  (input_tokens=2228, output_tokens=65, n_images=4)
  np_tissue      [retail_shelf] spans   3-  3 ->  1 captions  (input_tokens=2269, output_tokens=64, n_images=4)
  np_tissue      [retail_shelf] spans   4-  4 ->  1 captions  (input_tokens=2305, output_tokens=64, n_images=4)
  np_tissue      [retail_shelf] spans   5-  5 ->  1 captions  (input_tokens=2304, output_tokens=61, n_images=4)
  np_tissue      [retail_shelf] spans   6-  6 ->  1 captions  (input_tokens=2308, output_tokens=62, n_images=4)
  np_tissue      [retail_shelf] spans   7-  7 ->  1 captions  (input_tokens=2299, output_tokens=62, n_images=4)
  np_tissue      [retail_shelf] spans   8-  8 ->  1 captions  (input_tokens=2300, output_tokens=58, n_images=4)
  np_tissue      [retail_shelf] spans   9-  9 ->  1 captions  (input_tokens=2291, output_tokens=64, n_images=4)
  np_tissue      [retail_shelf] spans  10- 10 ->  1 captions  (input_tokens=2296, output_tokens=64, n_images=4)
  np_tissue      [retail_shelf] spans  11- 11 ->  1 captions  (input_tokens=2303, output_tokens=62, n_images=4)
  np_cabinet_a   [retail_shelf] spans   0-  0 ->  1 captions  (input_tokens=2149, output_tokens=59, n_images=4)
  np_cabinet_a   [retail_shelf] spans   1-  1 ->  1 captions  (input_tokens=2200, output_tokens=59, n_images=4)
  np_cabinet_a   [retail_shelf] spans   2-  2 ->  1 captions  (input_tokens=2222, output_tokens=59, n_images=4)
  np_cabinet_a   [retail_shelf] spans   3-  3 ->  1 captions  (input_tokens=2262, output_tokens=58, n_images=4)
  np_cabinet_a   [retail_shelf] spans   4-  4 ->  1 captions  (input_tokens=2279, output_tokens=58, n_images=4)
  np_cabinet_a   [retail_shelf] spans   5-  5 ->  1 captions  (input_tokens=2278, output_tokens=61, n_images=4)
  np_cabinet_a   [retail_shelf] spans   6-  6 ->  1 captions  (input_tokens=2290, output_tokens=64, n_images=4)
  np_cabinet_a   [retail_shelf] spans   7-  7 ->  1 captions  (input_tokens=2292, output_tokens=58, n_images=4)
  np_cabinet_a   [retail_shelf] spans   8-  8 ->  1 captions  (input_tokens=2283, output_tokens=61, n_images=4)
  tm_glass_a     [retail_shelf] spans   0-  0 ->  1 captions  (input_tokens=2151, output_tokens=64, n_images=4)
  tm_glass_a     [retail_shelf] spans   1-  1 ->  1 captions  (input_tokens=2210, output_tokens=59, n_images=4)
  tm_glass_a     [retail_shelf] spans   2-  2 ->  1 captions  (input_tokens=2227, output_tokens=61, n_images=4)
  tm_glass_a     [retail_shelf] spans   3-  3 ->  1 captions  (input_tokens=2258, output_tokens=61, n_images=4)
  tm_glass_a     [retail_shelf] spans   4-  4 ->  1 captions  (input_tokens=2291, output_tokens=61, n_images=4)
  tm_glass_a     [retail_shelf] spans   5-  5 ->  1 captions  (input_tokens=2288, output_tokens=61, n_images=4)
